pitch_hz,swara,string_number
231.74,Sa,1
231.74,Sa,1
231.74,Sa,1
231.74,Sa,1
234.43,Sa,1
233.08,Sa,1
231.74,Sa,1
230.4,Sa,1
230.4,Sa,1
229.08,Sa,1
225.14,Sa,1
222.56,Sa,1
211.28,Sa,1
204.09,Sa,1
199.42,Sa,1
168.67,Sa,1
163.86,Sa,1
163.86,Sa,1
162.92,Sa,1
162.92,Sa,1
162.92,Sa,1
163.86,Sa,1
221.27,Sa,1
220.0,Sa,1
220.0,Sa,1
220.0,Sa,1
217.47,Sa,1
216.22,Sa,1
217.47,Sa,1
217.47,Sa,1
216.22,Sa,1
217.47,Sa,1
218.73,Sa,1
175.63,Sa,1
174.61,Sa,1
174.61,Sa,1
173.61,Sa,1
171.61,Sa,1
172.61,Sa,1
171.61,Sa,1
171.61,Sa,1
171.61,Sa,1
171.61,Sa,1
171.61,Sa,1
171.61,Sa,1
171.61,Sa,1
172.61,Sa,1
172.61,Sa,1
172.61,Sa,1
173.61,Sa,1
176.64,Sa,1
179.73,Sa,1
179.73,Sa,1
179.73,Sa,1
170.63,Sa,1
211.28,Sa,1
210.07,Sa,1
208.86,Sa,1
207.65,Sa,1
207.65,Sa,1
205.27,Sa,1
205.27,Sa,1
204.09,Sa,1
204.09,Sa,1
204.09,Sa,1
204.09,Sa,1
204.09,Sa,1
204.09,Sa,1
205.27,Sa,1
205.27,Sa,1
205.27,Sa,1
206.46,Sa,1
207.65,Sa,1
208.86,Sa,1
207.65,Sa,1
206.46,Sa,1
205.27,Sa,1
204.09,Sa,1
205.27,Sa,1
206.46,Sa,1
207.65,Sa,1
